epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.372,1.16264,2.24443,1.24694,0.50383,0.73885,0.60703,0.49224,0.70511,2.16715,0.99409,0.00017776,0.00017776,0.00017776
2,308.338,1.0788,1.19785,1.16059,0.74497,0.73031,0.79471,0.64078,0.72105,1.75483,0.97125,0.000330334,0.000330334,0.000330334
3,459.236,1.06125,0.87931,1.13826,0.66696,0.62985,0.72811,0.56316,0.84641,1.30763,1.0776,0.000445511,0.000445511,0.000445511
4,605.006,1.06579,0.82621,1.15185,0.75233,0.75977,0.80469,0.62915,0.82853,1.22678,1.08105,0.000523292,0.000523292,0.000523292
5,755.778,1.04687,0.71864,1.12732,0.80315,0.76118,0.78723,0.60099,0.86007,1.15025,1.09824,0.000563677,0.000563677,0.000563677
6,909.129,1.03708,0.6614,1.12428,0.83521,0.85256,0.92663,0.73772,0.75175,0.75754,1.01569,0.000561055,0.000561055,0.000561055
7,1059.72,1.03145,0.64354,1.14301,0.86464,0.77776,0.90472,0.72215,0.75057,0.812,1.01201,0.000451066,0.000451066,0.000451066
8,1207.89,1.01016,0.60124,1.12111,0.89613,0.8826,0.92903,0.74429,0.72761,0.64911,1.00483,0.000341077,0.000341077,0.000341077
9,1358.28,0.95744,0.53583,1.09282,0.92813,0.9054,0.94819,0.77502,0.68825,0.55718,0.97227,0.000231088,0.000231088,0.000231088
10,1505.87,0.92485,0.49666,1.05827,0.88621,0.92729,0.93627,0.78298,0.65544,0.5433,0.96571,0.000121099,0.000121099,0.000121099
